frame,joint_name,x,y
87,hip,317,357
87,knee,317,357
87,handle,359,787
88,head,352,71
88,shoulder,413,130
88,hip,317,353
88,knee,317,353
88,handle,358,786
89,head,351,70
89,shoulder,416,131
89,hip,318,350
89,knee,318,350
89,handle,357,785
90,head,350,69
90,shoulder,418,132
90,hip,318,346
90,knee,318,346
90,handle,357,784
91,head,349,68
91,shoulder,421,132
91,hip,319,343
91,knee,319,343
91,handle,356,783
92,head,347,66
92,shoulder,423,133
92,hip,320,339
92,knee,320,339
92,handle,355,782
93,head,345,63
93,shoulder,419,130
93,hip,318,341
93,knee,318,341
93,handle,354,781
94,head,343,61
94,shoulder,414,127
94,hip,315,342
94,knee,315,342
94,handle,352,780
95,head,341,59
95,shoulder,410,123
95,hip,313,343
95,knee,313,343
95,handle,350,779
96,head,340,57
96,shoulder,405,120
96,hip,311,345
96,knee,311,345
96,handle,349,778
97,head,339,55
97,shoulder,400,117
97,hip,309,346
97,knee,309,346
97,handle,347,778
98,head,338,54
98,shoulder,395,119
98,hip,309,346
98,knee,309,346
98,handle,346,778
99,head,336,53
99,shoulder,391,121
99,hip,309,345
99,knee,309,345
99,handle,345,778
100,head,335,52
100,shoulder,386,123
100,hip,309,345
100,knee,309,345
100,handle,344,778
101,head,334,50
101,shoulder,382,125
101,hip,309,345
101,knee,309,345
101,handle,343,778
102,head,333,49
102,shoulder,378,128
102,hip,309,346
102,knee,309,346
102,handle,342,778
103,head,332,48
103,shoulder,376,127
103,hip,308,345
103,knee,308,345
103,handle,342,777
104,head,331,46
104,shoulder,374,126
104,hip,308,345
104,knee,308,345
104,handle,342,777
105,head,330,45
105,shoulder,373,125
105,hip,308,344
105,knee,308,344
105,handle,343,777
106,head,329,43
106,shoulder,371,124
106,hip,308,344
106,knee,308,344
106,handle,344,776
107,head,329,42
107,shoulder,370,123
107,hip,308,344
107,knee,308,344
107,handle,346,776
108,head,329,40
108,shoulder,371,122
108,hip,308,345
108,knee,308,345
108,handle,347,775
109,head,328,39
109,shoulder,372,122
109,hip,307,346
109,knee,307,346
109,handle,348,774
110,head,328,37
110,shoulder,373,122
110,hip,307,347
110,knee,307,347
110,handle,349,774
111,head,328,36
111,shoulder,374,122
111,hip,307,348
111,knee,307,348
111,handle,350,773
112,head,328,34
112,shoulder,375,122
112,hip,307,350
112,knee,307,350
112,handle,351,773
113,head,327,33
113,shoulder,376,121
113,hip,308,349
113,knee,308,349
113,handle,353,773
114,head,327,32
114,shoulder,377,121
114,hip,309,349
114,knee,309,349
114,handle,353,772
115,head,327,31
115,shoulder,377,121
115,hip,310,349
115,knee,310,349
115,handle,354,772
116,head,328,30
116,shoulder,378,120
116,hip,311,348
116,knee,311,348
116,handle,354,772
117,head,328,29
117,shoulder,379,122
117,hip,312,348
117,knee,312,348
117,handle,354,772
118,head,328,28
118,shoulder,381,122
118,hip,312,345
118,knee,312,345
118,handle,355,772
119,head,328,27
119,shoulder,382,122
119,hip,310,341
119,knee,310,341
119,handle,356,772
120,head,327,25
120,shoulder,384,122
120,hip,303,339
120,knee,303,339
120,handle,357,771
121,head,327,24
121,shoulder,385,121
121,hip,292,339
121,knee,292,339
121,handle,358,771
122,head,327,23
122,shoulder,386,119
122,hip,278,339
122,knee,278,339
122,handle,358,771
123,head,326,22
123,shoulder,390,120
123,hip,255,341
123,knee,255,341
123,handle,359,770
124,head,326,21
124,shoulder,394,121
124,hip,234,350
124,knee,234,350
124,handle,360,770
125,head,326,21
125,shoulder,397,122
125,hip,218,359
125,knee,218,359
125,handle,361,770
126,head,326,20
126,shoulder,400,123
126,hip,206,367
126,knee,206,367
126,handle,363,769
127,head,326,20
127,shoulder,404,124
127,hip,197,375
127,knee,197,375
127,handle,365,769
128,head,326,19
128,shoulder,401,123
128,hip,200,384
128,knee,200,384
128,handle,364,769
129,head,326,19
129,shoulder,399,123
129,hip,203,387
129,knee,203,387
129,handle,363,769
130,head,326,19
130,shoulder,396,122
130,hip,208,393
130,knee,208,393
130,handle,363,769
131,head,327,19
131,shoulder,394,121
131,hip,213,414
131,knee,213,414
131,handle,362,769
132,head,327,18
132,shoulder,392,120
132,hip,218,435
132,knee,218,435
132,handle,361,769
133,head,327,18
133,shoulder,395,121
133,hip,221,456
133,knee,221,456
133,handle,362,769
134,head,327,18
134,shoulder,398,122
134,hip,223,475
134,knee,223,475
134,handle,363,769
135,head,327,18
135,shoulder,402,123
135,hip,225,491
135,knee,225,491
135,handle,364,769
136,head,326,17
136,shoulder,405,124
136,hip,226,490
136,knee,226,490
136,handle,366,769
137,head,325,16
137,shoulder,408,125
137,hip,226,490
137,knee,226,490
137,handle,367,769
138,head,325,16
138,shoulder,408,125
138,hip,226,489
138,knee,226,489
138,handle,367,768
139,head,325,16
139,shoulder,409,124
139,hip,226,489
139,knee,226,489
139,handle,366,768
140,head,325,15
140,shoulder,409,123
140,hip,226,489
140,knee,226,489
140,handle,366,768
141,head,325,15
141,shoulder,410,122
141,hip,226,489
141,knee,226,489
141,handle,365,768
142,head,325,15
142,shoulder,411,121
142,hip,226,489
142,knee,226,489
142,handle,365,768
143,head,325,14
143,shoulder,407,120
143,hip,226,488
143,knee,226,488
143,handle,364,768
144,head,325,14
144,shoulder,404,119
144,hip,226,488
144,knee,226,488
144,handle,363,767
145,head,325,14
145,shoulder,401,119
145,hip,226,487
145,knee,226,487
145,handle,363,767
146,head,325,14
146,shoulder,397,118
146,hip,226,487
146,knee,226,487
146,handle,362,767
147,head,325,14
147,shoulder,394,117
147,hip,226,487
147,knee,226,487
147,handle,362,767
148,head,325,15
148,shoulder,394,117
148,hip,226,487
148,knee,226,487
148,handle,361,766
149,head,325,15
149,shoulder,395,117
149,hip,225,487
149,knee,225,487
149,handle,360,766
150,head,324,15
150,shoulder,396,117
150,hip,225,487
150,knee,225,487
150,handle,360,766
151,head,324,15
151,shoulder,397,117
151,hip,225,487
151,knee,225,487
151,handle,359,766
152,head,323,15
152,shoulder,397,117
152,hip,224,487
152,knee,224,487
152,handle,358,766
153,head,323,15
153,shoulder,400,117
153,hip,224,486
153,knee,224,486
153,handle,357,766
154,head,322,15
154,shoulder,402,117
154,hip,224,486
154,knee,224,486
154,handle,357,766
155,head,321,15
155,shoulder,404,117
155,hip,223,485
155,knee,223,485
155,handle,357,765
156,head,320,14
156,shoulder,407,117
156,hip,223,485
156,knee,223,485
156,handle,358,765
157,head,319,14
157,shoulder,409,117
157,hip,223,485
157,knee,223,485
157,handle,358,765
158,head,319,14
158,shoulder,409,117
158,hip,223,484
158,knee,223,484
158,handle,358,764
159,head,318,14
159,shoulder,409,117
159,hip,222,484
159,knee,222,484
159,handle,358,764
160,head,318,14
160,shoulder,409,118
160,hip,222,483
160,knee,222,483
160,handle,358,764
161,head,317,14
161,shoulder,408,118
161,hip,222,482
161,knee,222,482
161,handle,357,764
162,head,316,14
162,shoulder,408,119
162,hip,221,482
162,knee,221,482
162,handle,356,764
163,head,316,13
163,shoulder,408,118
163,hip,221,481
163,knee,221,481
163,handle,355,763
164,head,315,13
164,shoulder,408,117
164,hip,222,481
164,knee,222,481
164,handle,354,762
